000000137.1194088459, 000000016.0000000000, 000000288.0000000000, 000000002.22222130298614484190
000000204.2396659851, 000000034.0000000000, 000000612.0000000000, 000000002.18792879581451416016
000000330.0873558521, 000000169.6111111111, 000003053.0000000000, 000000001.77936652898788461030
000000401.2818098068, 000000181.8888888889, 000003274.0000000000, 000000001.70444877147674556106
000000527.6433618069, 000000315.9444444444, 000005687.0000000000, 000000001.47987825870513911575
000000600.4318487644, 000000327.7777777778, 000005900.0000000000, 000000001.50545895099639892578
000000674.5353519917, 000000462.7777777778, 000008330.0000000000, 000000001.43477771282196053804
000000838.5485618114, 000000538.7777777778, 000009698.0000000000, 000000001.36929394006729121536
000000959.6324508190, 000000692.7777777778, 000012470.0000000000, 000000001.71766787767410278320
000001080.6514658928, 000000841.1111111111, 000015140.0000000000, 000000003.05588505268096932710
000001115.0953698158, 000000924.0000000000, 000016632.0000000000, 000000004.19981026649475097656
000001180.7896888256, 000000960.8888888889, 000017296.0000000000, 000000003.92002356052398681641
000001306.9153587818, 000001084.1111111111, 000019514.0000000000, 000000001.55411878824234017671
000001372.2550449371, 000001104.1111111111, 000019874.0000000000, 000000001.44843852519989013672
000001497.2874178886, 000001255.8888888889, 000022606.0000000000, 000000001.16596317291259765625
000001562.9140529633, 000001282.9444444444, 000023093.0000000000, 000000001.21047168970108032227
000001689.3513388634, 000001415.0555555556, 000025471.0000000000, 000000001.34774681329727163970
000001813.0941739082, 000001500.9444444444, 000027017.0000000000, 000000001.84190505743026733398
000001831.5113539696, 000001577.0000000000, 000028386.0000000000, 000000001.72687962055206289946
000001897.4949169159, 000001604.1111111111, 000028874.0000000000, 000000001.57161026000976566941
000001976.2193949223, 000001730.1666666667, 000031143.0000000000, 000000000.98802951574325559303
000002041.9473679066, 000001750.0000000000, 000031500.0000000000, 000000000.96277009248733524949
000002167.6233577728, 000001899.8888888889, 000034198.0000000000, 000000000.90284654498100280762
000002233.9255888462, 000001918.8333333333, 000034539.0000000000, 000000000.89163578748702998489
000002359.8673498631, 000002066.2222222222, 000037192.0000000000, 000000001.05040689706802359282
000002425.5353918076, 000002093.0000000000, 000037674.0000000000, 000000001.07393718957900996536
000002551.7873618603, 000002224.6666666667, 000040044.0000000000, 000000000.91745326519012448951
000002693.2973477840, 000002245.7777777778, 000040424.0000000000, 000000000.90814811587333676979
000002768.8113517761, 000002381.9444444444, 000042875.0000000000, 000000000.91480392217636108398
000002773.5793728828, 000002381.9444444444, 000042875.0000000000, 000000000.85418477058410646752
000002839.2281627655, 000002432.5000000000, 000043785.0000000000, 000000000.87031942605972290039
000002922.1091849804, 000002543.1111111111, 000045776.0000000000, 000000000.86246994733810422584
000002987.6492447853, 000002594.8888888889, 000046708.0000000000, 000000000.90164260864257816941
000003067.3513598442, 000002696.0000000000, 000048528.0000000000, 000000000.96943007707595829636
000003132.8119258881, 000002746.2222222222, 000049432.0000000000, 000000000.91408677697181706101
000003217.7074007988, 000002855.7222222222, 000051403.0000000000, 000000000.98897166252136226028
000003341.5390019417, 000002959.5000000000, 000053271.0000000000, 000000001.21847879886627197266
000003462.8453629017, 000003111.4444444444, 000056006.0000000000, 000000003.23332550525665274321
000003495.2913339138, 000003166.1111111111, 000056990.0000000000, 000000002.60069384574890127837
000003560.9019148350, 000003224.7222222222, 000058045.0000000000, 000000002.10829045772552481353
000003645.6553609371, 000003330.0000000000, 000059940.0000000000, 000000001.14066948890686026274
000003710.9863817692, 000003381.9444444444, 000060875.0000000000, 000000001.12267600297927860886
000003796.5393509865, 000003489.5555555556, 000062812.0000000000, 000000000.95536412596702580124
000003862.0809068680, 000003547.7222222222, 000063859.0000000000, 000000001.05741736888885506929
000003939.1553528309, 000003650.9444444444, 000065717.0000000000, 000000001.15675486326217646926
000004004.4912698269, 000003702.2777777778, 000066641.0000000000, 000000000.95657284259796138137
000004090.2073547840, 000003807.5555555556, 000068536.0000000000, 000000000.91581153869628906250
000004155.4940497875, 000003866.7222222222, 000069601.0000000000, 000000000.89300068616867067650
000004236.5633718967, 000003969.7777777778, 000071456.0000000000, 000000000.95139429569244382545
000004360.9158627987, 000004072.7222222222, 000073309.0000000000, 000000000.94654724597930905983
